DEBUG 2024-05-24 20:23:01,526 autoreload File C:\venvs\mysite\Lib\site-packages\django\views\static.py first seen with mtime 1715818501.734341
DEBUG 2024-05-24 20:23:01,526 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1715818501.5447278
DEBUG 2024-05-24 20:23:01,527 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\files\images.py first seen with mtime 1715818501.4237237
DEBUG 2024-05-24 20:23:01,527 autoreload File C:\Python312\Lib\asyncio\futures.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,528 autoreload File C:\Python312\Lib\glob.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,528 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\request.py first seen with mtime 1715746509.283968
DEBUG 2024-05-24 20:23:01,528 autoreload File C:\venvs\mysite\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1715818501.744331
DEBUG 2024-05-24 20:23:01,529 autoreload File C:\venvs\mysite\Lib\site-packages\django\utils\_os.py first seen with mtime 1715818501.6963248
DEBUG 2024-05-24 20:23:01,529 autoreload File C:\venvs\mysite\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1715818501.6638095
DEBUG 2024-05-24 20:23:01,530 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1715818501.537728
DEBUG 2024-05-24 20:23:01,530 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1715818499.7177765
DEBUG 2024-05-24 20:23:01,530 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1715818498.2617905
DEBUG 2024-05-24 20:23:01,531 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1715818501.412719
DEBUG 2024-05-24 20:23:01,531 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1715818501.4825668
DEBUG 2024-05-24 20:23:01,531 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1715818501.4177248
DEBUG 2024-05-24 20:23:01,531 autoreload File C:\venvs\mysite\Lib\site-packages\django\urls\conf.py first seen with mtime 1715818501.6918154
DEBUG 2024-05-24 20:23:01,532 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1715746509.4588845
DEBUG 2024-05-24 20:23:01,532 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1715818501.5607326
DEBUG 2024-05-24 20:23:01,532 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1715818501.5767365
DEBUG 2024-05-24 20:23:01,533 autoreload File C:\venvs\mysite\Lib\site-packages\asgiref\__init__.py first seen with mtime 1709690211.1479506
DEBUG 2024-05-24 20:23:01,533 autoreload File C:\Python312\Lib\json\__init__.py first seen with mtime 1701955214.0
